bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
140956576,observation,3493728,,Joanne Siderius,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2014-10-08T02:00Z,2014,2014-10-08,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,49.595489501953125,-117.22445678710938,,,2715.0,,,,,5903,,Central Kootenay,,British Columbia Canada,,,AK,CA,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
140016998,specimen,Mammal-25837,,Krebs Brothers Sheep Co,95,James R. Slater Museum of Natural History,"95,201859",PSM Vertebrates Collection,1978-12-16T01:00Z,1978,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,45.683074951171875,-117.32967376708984,,,656.0,,,,,41063,Wallowa,Wallowa County,Oregon,Oregon,,,AK,US,http://nhmuseum.ups.edu/,http://www.pugetsound.edu/academics/academic-resources/slater-museum/about-the-museum/collections-summary,,,,,CC0_1_0
140017331,observation,USGSSDFSCSID7814,,Anita Burkett,440,BISON,"440,100011",USGS WERC - SDFS Fisher Lab - Vertebrates - 1999-2009,1999-08-22,1999,,Puma concolor,Puma concolor,Puma concolor,Puma,Cougar;mountain lion;Puma;Puma,552479,552479,,33.50115966796875,-117.32951354980469,,,,,,,,06065,Riverside,Riverside County,California,California,,,AK,US,https://bison.usgs.gov,https://bison.usgs.gov/ipt/resource?r=usgs-werc-sdfs-carnivore_cam,,,,,http://creativecommons.org/publicdomain/zero/1.0/legalcode
140020894,observation,USGSSDFSCSID7873,,Chris Haas,440,BISON,"440,100011",USGS WERC - SDFS Fisher Lab - Vertebrates - 1999-2009,2000-06-25,2000,,Puma concolor,Puma concolor,Puma concolor,Puma,Cougar;mountain lion;Puma;Puma,552479,552479,,33.50324249267578,-117.3283920288086,,,,,,,,06065,Riverside,Riverside County,California,California,,,AK,US,https://bison.usgs.gov,https://bison.usgs.gov/ipt/resource?r=usgs-werc-sdfs-carnivore_cam,,,,,http://creativecommons.org/publicdomain/zero/1.0/legalcode
140020899,observation,USGSSDFSCSID7863,,Anita Burkett,440,BISON,"440,100011",USGS WERC - SDFS Fisher Lab - Vertebrates - 1999-2009,1999-08-22,1999,,Puma concolor,Puma concolor,Puma concolor,Puma,Cougar;mountain lion;Puma;Puma,552479,552479,,33.50324249267578,-117.3283920288086,,,,,,,,06065,Riverside,Riverside County,California,California,,,AK,US,https://bison.usgs.gov,https://bison.usgs.gov/ipt/resource?r=usgs-werc-sdfs-carnivore_cam,,,,,http://creativecommons.org/publicdomain/zero/1.0/legalcode
140088979,specimen,51179,,P. Wortman,25,University of Washington Burke Museum,"25,202474",UWBM Mammalogy Collection,1978-11-17T01:00Z,1978,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,Cougar,Cougar;mountain lion;Puma;Puma,552479,552479,,45.43407440185547,-117.32067108154297,,,1152.0,,,,,41063,Wallowa,Wallowa County,Oregon,Oregon,,,AK,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.burkemuseum.org/mammalogy,,,,,CC0_1_0
140544084,observation,385652,,barrymartin,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2008-09-01T02:00Z,2008,9/1/2008,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,33.53485107421875,-117.26278686523438,,,110.0,,,,,06065,,Riverside County,,California,,,AK,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
103226417,specimen,4388,,J. C. Bruce,27,California Academy of Sciences,"27,202127",CAS Mammalogy (MAM),1922-03-01T01:00Z,1922,Mar 1922,"Puma concolor subsp. californica (May, 1896)",Puma concolor californica,Puma concolor couguar,,eastern cougar;eastern puma,552779,622093,,39.52831268310547,-122.85028076171875,,,,,,,,06033,Mendocino Co.,Lake County,California,California,,,,US,http://www.calacademy.org,http://www.calacademy.org/scientists/ornithology-mammalogy-collection,,,,,CC0_1_0
103226418,specimen,4389,,J. C. Bruce,27,California Academy of Sciences,"27,202127",CAS Mammalogy (MAM),1922-03-01T01:00Z,1922,Mar 1922,"Puma concolor subsp. californica (May, 1896)",Puma concolor californica,Puma concolor couguar,,eastern cougar;eastern puma,552779,622093,,39.52831268310547,-122.85028076171875,,,,,,,,06033,Mendocino Co.,Lake County,California,California,,,,US,http://www.calacademy.org,http://www.calacademy.org/scientists/ornithology-mammalogy-collection,,,,,CC0_1_0
103226419,specimen,4390,,J. C. Bruce,27,California Academy of Sciences,"27,202127",CAS Mammalogy (MAM),1922-03-01T01:00Z,1922,Mar 1922,"Puma concolor subsp. californica (May, 1896)",Puma concolor californica,Puma concolor couguar,,eastern cougar;eastern puma,552779,622093,,39.52831268310547,-122.85028076171875,,,,,,,,06033,Mendocino Co.,Lake County,California,California,,,,US,http://www.calacademy.org,http://www.calacademy.org/scientists/ornithology-mammalogy-collection,,,,,CC0_1_0
